team,experience,salary,points3,points2,points1,points,off_rebounds,def_rebounds,assists,steals,blocks,turnovers,fouls,efficiency
LAC,11,22.868827,124,250,232,1104,40,264,563,119,8,147,146,24.78688524590164
LAC,8,21.165675,0,412,205,1029,298,816,96,51,134,115,212,23.753086419753085
LAC,0,0.543471,0,3,4,10,1,5,0,0,1,2,5,0.7142857142857143
LAC,10,7.3775,201,195,180,1173,11,160,110,54,13,98,125,11.628205128205128
LAC,16,13.253012,116,243,174,1008,17,112,214,61,14,134,115,9.170731707317072
LAC,8,2.203,43,148,59,484,44,126,39,81,35,46,122,6.85
LAC,8,1.403611,103,141,120,711,88,285,65,23,41,69,229,10.036585365853659
LAC,18,3.5,15,13,10,81,1,47,10,4,5,16,40,3.48
LAC,11,1.551659,46,175,50,538,33,185,191,66,22,83,125,8.0625
LAC,6,5.628,29,44,11,186,26,155,23,29,30,18,83,4.382352941176471
UTA,5,10.154495,25,74,60,283,17,103,30,18,5,35,50,6.0476190476190474
UTA,13,7,20,126,26,338,46,112,170,18,9,87,83,5.698630136986301
UTA,1,3.94032,44,111,58,412,30,102,111,21,12,80,146,5.833333333333333
UTA,6,11.05,3,200,67,476,92,213,56,45,40,60,103,12.12
UTA,8,8,94,195,157,829,23,144,204,50,11,85,114,16.73469387755102
UTA,6,16.07314,149,396,362,1601,49,345,252,73,20,140,117,20.84931506849315
UTA,3,1.015696,0,55,36,146,52,69,7,16,32,14,52,4.862745098039215
UTA,2,2.25,123,81,50,581,23,238,225,96,8,107,163,9.74390243902439
UTA,15,11,106,167,63,715,33,210,144,36,18,69,93,9.23076923076923
UTA,0,0.6,1,8,3,22,4,13,2,1,2,2,1,2.6666666666666665
UTA,1,0.9378,10,31,8,100,4,26,34,21,5,15,48,3.1
UTA,2,1.40652,114,158,90,748,16,186,96,38,11,65,132,10.35593220338983
UTA,3,2.121288,0,413,311,1137,314,721,97,49,214,147,246,24.790123456790123
UTA,5,2.433334,37,133,53,430,20,105,154,42,3,90,100,7.8
UTA,1,2.3406,65,94,57,440,48,187,69,26,20,64,97,5.971830985915493
OKC,0,5.994764,94,40,44,406,18,68,40,37,8,33,114,4.882352941176471
OKC,3,2.183072,45,170,47,522,98,305,79,94,79,51,204,10.30379746835443
OKC,0,2.4402,51,141,44,479,46,242,82,39,32,83,200,6.481481481481482
OKC,2,2.48304,21,35,12,145,6,43,13,2,1,6,22,5.954545454545454
OKC,5,17.145838,5,397,224,1033,195,287,67,32,38,123,154,15.73611111111111
OKC,2,0.980431,43,103,86,421,38,161,46,33,75,41,144,6.602564102564102
OKC,1,1.19148,2,4,0,14,4,5,3,0,3,0,0,11.5
OKC,4,4.8375,7,27,13,88,8,40,9,7,5,11,29,2.90625
OKC,12,3.75,0,14,5,33,9,22,12,2,2,4,17,3.2
OKC,5,0.247991,3,13,8,43,0,11,14,8,0,7,18,2.3846153846153846
OKC,8,26.5401,200,624,710,2558,137,727,840,132,31,438,190,33.82716049382716
OKC,0,0.543471,12,65,17,183,19,68,130,28,7,43,79,3.625
OKC,3,3.140517,0,374,157,905,281,332,86,89,78,146,195,15.55
OKC,7,8.95,1,88,28,207,38,65,13,14,15,28,40,9.695652173913043
OKC,3,6.55296,127,285,116,1067,39,252,176,78,21,119,155,14.26865671641791
MEM,0,0.945,43,74,148,425,23,113,198,53,21,85,194,6.375
MEM,8,5.7,0,83,23,189,31,47,15,11,20,10,42,8.535714285714286
